Celltype name	Layer1	Layer2	Layer3	Layer4
Retinal progenitor cells	Precursor cell	Stem cell	Retinal progenitor cells	Retinal progenitor cells
Neuroblasts	Precursor cell	Neuroblasts	Neuroblasts	Neuroblasts
Adipocyte progenitor cells	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
Kidney progenitor cells	Precursor cell	Kidney progenitor cells	Kidney progenitor cells	Kidney progenitor cells
Transient cells	Precursor cell	Transient cells	Transient cells	Transient cells
Myoblasts	Precursor cell	Myoblasts	Myoblasts	Myoblasts
Satellite cells	Precursor cell	Satellite cells	Satellite cells	Satellite cells
Osteoclast precursor cells	Precursor cell	Osteoclast precursor cells	Osteoclast precursor cells	Osteoclast precursor cells
Trophoblast progenitor cells	Precursor cell	Trophoblast progenitor cells	Trophoblast progenitor cells	Trophoblast progenitor cells
Erythroid-like and erythroid precursor cells	Precursor cell	Erythroid-like and erythroid precursor cells	Erythroid-like and erythroid precursor cells	Erythroid-like and erythroid precursor cells
Osteoblasts	Precursor cell	Osteoblasts	Osteoblasts	Osteoblasts
Erythroblasts	Precursor cell	Erythroblasts	Erythroblasts	Erythroblasts
Osteoclasts	Somatic cell	Bone cell	Osteoclasts	Osteoclasts
Osteocytes	Somatic cell	Bone cell	Osteocytes	Osteocytes
Myofibroblasts	Somatic cell	Myofibroblasts	Myofibroblasts	Myofibroblasts
Hemangioblasts	Somatic cell	Hemangioblasts	Hemangioblasts	Hemangioblasts
Trophoblast cells	Somatic cell	Trophoblast cells	Trophoblast cells	Trophoblast cells
Spermatocytes	Somatic cell	Germ line cell	Spermatocytes	Spermatocytes
Spermatozoa	Somatic cell	Germ line cell	Spermatozoa	Spermatozoa
Germ cells	Somatic cell	Germ line cell	Germ cells	Germ cells
His bundle cells	Somatic cell	His bundle cells	His bundle cells	His bundle cells
Sebocytes	Somatic cell	Secretory cell	Sebocytes	Sebocytes
Epsilon cells	Epithelial cells	Secretory cell	Pancreas	Epsilon cells
Leydig cells	Somatic cell	Secretory cell	Leydig cells	Leydig cells
Melanocytes	Somatic cell	Melanocytes	Melanocytes	Melanocytes
Undefined placental cells	Somatic cell	Undefined placental cells	Undefined placental cells	Undefined placental cells
